"","team_1","year","match_type","gender","n.x","n.y","n"
"1","Afghanistan","2009","ODI","male",1,NA,NA
"2","Afghanistan","2010","T20","male",2,NA,NA
"3","Afghanistan","2012","T20","male",3,NA,NA
"4","Afghanistan","2013","T20","male",2,NA,NA
"5","Afghanistan","2014","ODI","male",4,6,10
"6","Afghanistan","2014","T20","male",2,1,3
"7","Afghanistan","2015","ODI","male",5,5,10
"8","Afghanistan","2015","T20","male",6,3,9
"9","Afghanistan","2016","T20","male",10,2,12
"10","Afghanistan","2017","ODI","male",5,2,7
"11","Afghanistan","2017","T20","male",4,4,8
"12","Afghanistan","2018","ODI","male",5,4,9
"13","Afghanistan","2018","T20","male",4,1,5
"14","Afghanistan","2019","ODI","male",16,4,20
"15","Afghanistan","2019","T20","male",8,2,10
"16","Afghanistan","2019","Test","male",2,1,3
"17","Afghanistan","2020","T20","male",3,NA,NA
"18","Afghanistan","2021","ODI","male",2,1,3
"19","Afghanistan","2021","T20","male",7,1,8
"20","Afghanistan","2021","Test","male",2,NA,NA
"21","Afghanistan","2022","ODI","male",8,4,12
"22","Afghanistan","2022","T20","male",11,7,18
"23","Afghanistan","2023","ODI","male",9,11,20
"24","Afghanistan","2023","T20","male",6,7,13
"25","Africa XI","2005","ODI","male",2,NA,NA
"26","Africa XI","2007","ODI","male",3,NA,NA
"27","Argentina","2021","T20","female",1,NA,NA
"28","Argentina","2021","T20","male",3,1,4
"29","Argentina","2023","T20","female",1,5,6
"30","Argentina","2023","T20","male",3,3,6
"31","Australia","2002","Test","male",1,NA,NA
"32","Australia","2003","ODI","male",13,14,27
"33","Australia","2003","Test","female",1,NA,NA
"34","Australia","2003","Test","male",3,3,6
"35","Australia","2004","ODI","male",13,9,22
"36","Australia","2004","Test","male",4,3,7
"37","Australia","2005","ODI","male",9,6,15
"38","Australia","2005","Test","female",1,NA,NA
"39","Australia","2005","Test","male",2,2,4
"40","Australia","2006","ODI","male",13,8,21
"41","Australia","2006","T20","male",1,1,2
"42","Australia","2006","Test","male",3,3,6
"43","Australia","2007","ODI","male",14,11,25
"44","Australia","2007","T20","male",7,1,8
"45","Australia","2007","Test","male",2,NA,NA
"46","Australia","2008","ODI","male",6,5,11
"47","Australia","2008","Test","female",1,NA,NA
"48","Australia","2008","Test","male",3,7,10
"49","Australia","2009","ODI","male",12,18,30
"50","Australia","2009","T20","male",3,3,6
"51","Australia","2009","Test","female",1,NA,NA
"52","Australia","2009","Test","male",2,8,10
"53","Australia","2010","ODI","male",5,12,17
"54","Australia","2010","T20","female",2,1,3
"55","Australia","2010","T20","male",10,3,13
"56","Australia","2010","Test","male",5,4,9
"57","Australia","2011","ODI","male",8,12,20
"58","Australia","2011","Test","male",2,3,5
"59","Australia","2012","ODI","female",2,NA,NA
"60","Australia","2012","ODI","male",5,10,15
"61","Australia","2012","T20","female",2,NA,NA
"62","Australia","2012","T20","male",7,2,9
"63","Australia","2012","Test","male",4,3,7
"64","Australia","2013","ODI","female",3,3,6
"65","Australia","2013","ODI","male",7,11,18
"66","Australia","2013","T20","male",2,3,5
"67","Australia","2013","Test","male",2,9,11
"68","Australia","2014","ODI","female",7,NA,NA
"69","Australia","2014","ODI","male",6,NA,NA
"70","Australia","2014","T20","female",8,NA,NA
"71","Australia","2014","T20","male",6,3,9
"72","Australia","2014","Test","male",2,3,5
"73","Australia","2015","ODI","male",4,7,11
"74","Australia","2015","Test","male",3,7,10
"75","Australia","2016","ODI","female",4,3,7
"76","Australia","2016","ODI","male",8,14,22
"77","Australia","2016","T20","female",6,1,7
"78","Australia","2016","T20","male",3,5,8
"79","Australia","2016","Test","male",3,3,6
"80","Australia","2017","ODI","female",7,6,13
"81","Australia","2017","ODI","male",7,5,12
"82","Australia","2017","T20","female",2,2,4
"83","Australia","2017","T20","male",2,1,3
"84","Australia","2018","ODI","female",3,2,5
"85","Australia","2018","ODI","male",4,3,7
"86","Australia","2018","T20","female",7,10,17
"87","Australia","2018","T20","male",1,6,7
"88","Australia","2018","Test","male",3,3,6
"89","Australia","2019","ODI","female",7,4,11
"90","Australia","2019","ODI","male",16,7,23
"91","Australia","2019","T20","female",3,6,9
"92","Australia","2019","T20","male",6,2,8
"93","Australia","2019","Test","male",7,5,12
"94","Australia","2020","ODI","female",1,2,3
"95","Australia","2020","ODI","male",2,9,11
"96","Australia","2020","T20","female",13,1,14
"97","Australia","2020","T20","male",3,6,9
"98","Australia","2020","Test","male",2,1,3
"99","Australia","2021","ODI","female",3,3,6
"100","Australia","2021","ODI","male",2,1,3
"101","Australia","2021","T20","female",3,3,6
"102","Australia","2021","T20","male",7,15,22
"103","Australia","2021","Test","male",3,2,5
"104","Australia","2022","ODI","female",5,7,12
"105","Australia","2022","ODI","male",9,8,17
"106","Australia","2022","T20","female",7,9,16
"107","Australia","2022","T20","male",9,12,21
"108","Australia","2022","Test","female",1,NA,NA
"109","Australia","2022","Test","male",7,4,11
"110","Australia","2023","ODI","female",5,8,13
"111","Australia","2023","ODI","male",10,12,22
"112","Australia","2023","T20","female",6,8,14
"113","Australia","2023","T20","male",2,6,8
"114","Australia","2023","Test","female",2,NA,NA
"115","Australia","2023","Test","male",10,3,13
"116","Austria","2020","T20","female",1,4,5
"117","Austria","2021","T20","male",2,1,3
"118","Austria","2022","T20","male",7,5,12
"119","Austria","2023","T20","male",5,2,7
"120","Bahamas","2021","T20","male",2,2,4
"121","Bahamas","2023","T20","male",1,3,4
"122","Bahrain","2020","T20","male",1,1,2
"123","Bahrain","2021","T20","male",2,1,3
"124","Bahrain","2022","T20","female",4,4,8
"125","Bahrain","2022","T20","male",10,10,20
"126","Bahrain","2023","T20","female",1,3,4
"127","Bahrain","2023","T20","male",8,5,13
"128","Bangladesh","2003","ODI","male",8,6,14
"129","Bangladesh","2003","Test","male",3,1,4
"130","Bangladesh","2004","ODI","male",4,6,10
"131","Bangladesh","2004","Test","male",1,1,2
"132","Bangladesh","2005","ODI","male",4,4,8
"133","Bangladesh","2005","Test","male",2,1,3
"134","Bangladesh","2006","ODI","male",11,3,14
"135","Bangladesh","2006","Test","male",3,NA,NA
"136","Bangladesh","2007","ODI","male",9,7,16
"137","Bangladesh","2007","T20","male",4,3,7
"138","Bangladesh","2007","Test","male",3,2,5
"139","Bangladesh","2008","ODI","male",8,9,17
"140","Bangladesh","2008","Test","male",2,4,6
"141","Bangladesh","2009","ODI","male",8,8,16
"142","Bangladesh","2009","T20","male",2,1,3
"143","Bangladesh","2010","ODI","male",15,7,22
"144","Bangladesh","2010","T20","male",1,2,3
"145","Bangladesh","2010","Test","male",4,3,7
"146","Bangladesh","2011","ODI","male",15,2,17
"147","Bangladesh","2011","T20","male",2,NA,NA
"148","Bangladesh","2011","Test","male",4,NA,NA
"149","Bangladesh","2012","ODI","male",9,NA,NA
"150","Bangladesh","2012","T20","male",1,3,4
"151","Bangladesh","2012","Test","male",2,NA,NA
